,screen_name,description,is_science,is_farmer,is_political,is_business,is_media,is_training,is_nonprofit,is_food,is_medical,is_internationalagency,is_nature,is_other,NOTES
21,RECARE_EU,Research project protecting and remediating soil degradation threats across Europe,1,,,,,,,,,,,,
22,JamieRidgely,"#Agren COO, Iowa farmer's wife, and draft horse-loving mom of 3 girls striving to revolutionize #soil and #water management in production #ag as #sustainableag.",,1,,1,,,,,,,,,
23,nickykylegarden,#Organic columnist #TheIrishGarden broadcaster/#realfood/#LCHF/#kefir-ista/Co-founder @organictrust #ethical #omnivore #HealthySoil=HealthyPeople/ #biodiversity,,,,,1,,,,,,,,
24,SoilsforLife,"Encouraging adoption of regenerative agriculture for the benefit of the rural landscape, ag production - and all Australians | Chaired by MAJGEN Michael Jeffery",,,,,,,1,,,,,,
25,SolvitaCarbon,"Solvita CO2 is a simple test for microbial activity, invented by Woods End Lab's @will_brinton. Helping farmers to monitor soil health. https://t.co/Te4MP79FgA",NA,,,,,1,,,,,,,
26,NestleUSA,"We focus on enhancing quality of life and contributing to a healthier future. Get to know the people, places, products, and pets that make us who we are.",,,,1,,,,,,,,,
27,suesustainable,"Ecology & sustainability adviser: land & more. Columnist (Conservation News) in British Wildlife. Community volunteer, pottering cyclist. W: https://t.co/CbBgfmTgXw",,,,,1,1,,,,,,,
28,kissthegroundCA,"Kiss the Ground is a 501(c)3 nonprofit inspiring participation in global #regeneration, starting w/ #soil. #regenerativeagriculture #advocacy #optimism",,,,,,,1,,,,,,
29,AHDB_Hort,"Funding science & knowledge transfer to help UK horticulture growers be more efficient, sustainable & competitive",1,,,,,1,,,,,,,
30,FarmlandNY,"Tweets about protecting farmland, keeping farmers on the land, and supporting sound farming practices from the New York State @Farmland office. #NoFarmsNoFood",,,,,,,1,,,,,,
31,agbiotech,Providing information and updates on ag biotech and GMOs,,,,1,,,,,,,,,
32,niels_corfield,"Soil-Grass-Trees-Farms.
Advisor, Educator, Designer.
Soil health, pasture health, agroforestry, whole farm planning.",,,,,,,1,,,,,,
33,humusphysicus,"Retired USDA-NRCS Soil Health Instructor and author of: ""A Soil Owner's Manual: How To Restore and Maintain Soil Health"".",,,,,,1,,,,,,,
34,FarmingFutures,Sharing information on food and farming in the UK.,,1,,,1,,,,,,,,
35,AGRICENLIFER,#sustainable #biochemical solutions to increase #nutrient efficiencies in 🇺🇸  🇨🇦 🇦🇺 #TitanXC #AtlasXC #BasisXC #Extract #AccomplishLM #ProLogue,1,1,,,,,,,,,,,
36,NRCS_Illinois,Helping People Help the Land. Following/RTs don’t=endorsement.,,,1,,,1,,,,,,,
37,HighPlainsJrnl,High Plains Journal/Midwest Ag Journal serve readers in 13 states with 5 editions. Farmers and ranchers rely on us for agricultural news and information.,,,,,1,,,,,,,,
38,SoilCare_eu,Testing and promoting soil-improving cropping systems and techniques to increase the profitability and sustainability of agriculture across Europe.,1,,,,,1,,,,,,,
39,BionutrientFood,Non-profit working to increase the nutrient quality in the food supply.,,,,,,,1,1,,,,,
40,4Rnutrients,"Right Source, Right Rate, Right Time, Right Place - Promoting the 4Rs for nutrient use and expanding implementation on the farm.",,,,,,,1,,,,,,
41,RickBieber81,A soil caretaker who believes our soils are ALIVE. We should treat them with the same respect as we'd treat everything else that's alive.,,1,,,,,,,,,,,
42,wildercarolineG,Livestock integrated rewilding approach focused on ecosystem processes not species. Working in the context of climate & global food security issues.,1,,,,,1,,,,,,,
43,ContinuumAgLLC,Founder/CEO of Continuum Ag - The Catalyst in Regenerative Relationships - @Fieldworktalk host - #Farmer #SoilHealth!,,1,,1,,,,,,,,,
44,CCSI_IN,Conservative Cropping Systems Initiative: improving soil health on Indiana cropland.,1,,,,,,,,,,,,
45,NRCS_Ohio,USDA's Natural Resources Conservation Service | Helping People Help the Land | Follow us for Ag Info Related to OH. Following & Retweets Do Not=Endorsement.,,,1,,,1,,,,,,,
46,AgweekMagazine,"From field to fork, we cover agriculture. Check us out on Facebook and explore our Agweek website. https://t.co/p9b6SyHdrD.",,,,,1,,,,,,,,
47,NRCS_SD,"With partners, USDA NRCS South Dakota helps landowners protect/enhance natural resources. Content relates to conservation. Following/RTs don't=endorsement.",,,1,,,1,,,,,,,
48,will_brinton,Farming systems researcher. Founder of Woods End Soil Lab;  Inventor of @Solvitacarbon. My tweets are my own. - Diversity in Unity,,,,,,1,,,,,,,
49,GreenCoverSeed,"A leader in the soil health movement, specializing in cover crop seed and custom mixes.",,,,1,,,,,,,,,
50,sustainableag,"National Sustainable Agriculture Coalition (NSAC) on federal food & farm policy. Working for family farms, the environment, healthy food, strong communities!",,,,,,,1,,,,,,
51,CristinaGardens,I'm all about working with the soil to create healthy vibrant gardens & landscapes. Avid follower of farmers & soil scientists. Horticulturist Educator Blogger,,,,,1,1,,,,,,,
52,NRCS_MT,"USDA's Natural Resources Conservation Service: issues & news related to conservation, ag, & the environment. Following/RTs don't=endorsement.",,,1,,,1,,,,,,,
53,SCRCA_water,"Jessica Van Zwol, Healthy Watershed Specialist for St Clair Conservation Authority. Generating discussion on stewardship & agriculture in SW Ontario",,,1,,,1,,,,,,,
54,FertilizerNews,Representing the global #fertilizer industry. IFA does not condone or endorse price related messages being posted on social media.,,,,1,,,,,,,,,
55,GrowingReturns,Building resilient land and water systems that allow people and nature to prosper in a changing climate. @EnvDefenseFund,,,,,,,1,,,,,,
56,soil_institute,Our mission is to safeguard and enhance the vitality and productivity of soil through scientific research and advancement.,1,,,,,,1,,,,,,
57,CARAresearch,is a producer-directed society dedicated to improving the profitability and sustainability of agriculture in the Special Areas and the MD of Acadia.,,,,,,1,,,,,,,
58,SaskOrganics,"Advocating for a sustainable and thriving organic community through leadership in research, market development and communications. #organicfood #organicfarming",,,,,,,1,,,,,,
59,IAwateralliance,Accelerating the pace and scale of farmer-led efforts to improve water quality in Iowa.,,,,,,1,,,,,,,
60,EATegrity_Sonia,Helping you find integrity in the food chain. Soil Health to Gut Biome. Farm Animal Welfare / Agroecology & PGS Facilitator / Eat Out Sustainable Award Judge,,,,,,,,1,,,1,,
61,EWestaway,"Public Health Nutrition, Global Development, SDGs, Permaculture, Sustainable Food, Diet-Related NCDs, Food Waste, Soil Health, Climate Change, Social Justice",,,,,,,,,,,1,,
62,NebraskaNRCS,Nebraska NRCS is Helping People Help the Land wrking w/ landowners to conserve natural resources on farm & ranch land. (Following/RTs don't=endorsements),,,1,,,1,,,,,,,
63,SmallFarmz,"We are a series of Small Farmz, practicing Regenerative Organic Farming in rural communities globally & cities near you. Healthy soil, clean water & ferments.",,1,,,,,,,,,,,
64,brownfield,"Agriculture news, weather and markets on the web and on your phone. Download our apps for iOS and Android.",,,,,1,,,,,,,,
65,JodiKoberinski,Justice for Dafonte Miller. Dangerous Ideas 2019: Ecologism https://t.co/wRWYAoHlVh #ExtinctionRebellion,,,,,,,,,,,1,,
66,JodiKoberinski,Justice for Dafonte Miller. Dangerous Ideas 2019: Ecologism https://t.co/wRWYAoHlVh #ExtinctionRebellion,,,,,,,,,,,1,,
67,sfamn,"SFA supports the development and enhancement of sustainable farming systems through farmer-to-farmer networking, innovation, demonstration, and education.",,,,,,1,1,,,,,,
68,IowaAgWater,Executive Director of Iowa Agriculture Water Alliance. Passionate about water quality and sustainable agriculture. Proud father of four. Tweets are my own.,1,,,,,,,,,,,,
69,CanadianOrganic,"Working towards a food system guided by organic principles of #health, #sustainability, and #fairness. Connecting #farmers #consumers #industry & #government",,,,,,,1,,,,,,
70,ntsaustralia,"Leaders in Biological & Sustainable Agriculture. We educate worldwide on Nutrition Farming® – the holistic, next-generation approach to food production.",,,,,,1,,,,,,,
71,OMAFRAEnviro,Official account of Environmental Mgmt Branch for sustainable & economical ag production & food processing.Part of @OMAFRA! Terms of Use https://t.co/1UbbFhMApl,,,1,,,,,,,,,,
72,csdigest,"CSD provides Midwest corn and soybean growers with in-depth ‘think different’ stories on agronomics, soil health, farm tech/data management and more",,,,,1,,,,,,,,
73,GallagherNA,"Since 1938, Gallagher has provided electric fencing, weighing, data collection (EID) & Miraco watering system solutions for all animal types. #DiscoverGallagher",,,,1,,,,,,,,,
74,DavidsonDocD,,,,,,,,,,,,1,,
75,notrunningfast,"Environmental Specialist wt Ontario provincial government! Interested in Great Lakes water quality, soil health, barn fire prevention, enviro/biz programs & Ag!",,,,,,,,,,,1,,
76,KoenvanSeijen,Senior manager @ToniicNetwork. Investment partner @ Garnell. Fascinated by #regenerativeagriculture and #antifragility. Tweets are my own,,,,1,,,,,,,,,
77,DynamiteAg,"Forgiven but not perfect. Husband, father, researcher, PhD, CCA, and crop consultant striving to help my growers blast through barriers to profitability.",1,,,,,1,,,,,,,
78,SSF_BERF_DEFM,"SSF = Support Small Farms --
BERF = By Eating Real Food  --
DEFM = Don't Eat Factory Meat",,1,,,,,,,,,1,,
79,NRCS_PIA,"Our mission in the Pacific Islands Area, is Helping People Help the Land.  USDA is an equal opportunity Provider, Employer, & Lender.",,,1,,,1,,,,,,,
80,machinefinder,"MachineFinder is the top global marketplace for used Agriculture, Residential, Construction, Golf & Turf, and Forestry equipment manufactured by #JohnDeere.",,,,1,,,,,,,,,
81,MiracoWaterers,Promoting healthy livestock with fresh automatic watering systems since 1974. We were the first to  engineer both energy-free and automatic livestock waterers.,,,,1,,,,,,,,,
82,SoilScienceNews,An automated feed of soil and environmental related news.,,,,,1,,,,,,,,
83,RTAHealth,"We are all about unbiased, accurate, scientifically proven information on Health and living.  Upcoming FREE! Conference. Come in person or watch live-stream",,,,,,1,,,,,,,
84,NRCS_Idaho,Idaho NRCS works w/ private landowners to conserve natural resources. Alexis & others provide news related to conservation & ag. RTs don't = endorsement.,,,1,,,1,,,,,,,
85,ncsoilwater,"NC Foundation for Soil and Water Conservation is a 501(c)3 nonprofit working to Improve the Environment, Educate the Citizen, & Increase Conservation Capacity",,,,,,,1,,,,,,
86,NRCS_Oregon,"USDA's Natural Resources Conservation Service: issues & news related to conservation, ag, & the environment. Follows or RTs don't=endorsement",,,1,,,1,,,,,,,
87,TheAusFarmer,The Australian Farmer is out now! Get your free copy here https://t.co/iBO0TD4EIv Also tweeting on our publication Boundless Plains to Share,,,,,1,,,,,,,,
88,cowgirljesse,Co-founder & event planner @Fermentana / Co-creator @bznbeerweek🍻 / Fermentation revivalist & homebrewer👩🏻‍🔬/ Writer & storyteller for hire🍺🐂🌾,,,,,,,,,,,1,,
89,on_agfax,We help farmers grow more and make more money off what they produce. U.S. ag’s premier info clearing house.,,,,,,1,,,,,,,
90,soilwarrior,"Defending the Land, Leading the Charge",,,,1,,,,,,,,,
91,srsnater,Soil health organizer at the Land Stewardship Project. Adversity promotes diversity. Tweets are my own.,,,,,,,1,,,,,,
92,SCD_DE,"Since 1944, SCD has been providing Soil & Water Conservation Services to Sussex County, Delaware.",,,1,,,1,,,,,,,
93,hminternational,"Educating the #ag community about #sustainable regenerative #agriculture & #holisticmanagement #farming, #ranching & land management at  https://t.co/bDLFeei43T",,,,,1,1,,,,,,,
94,NutritionGarden,We believe that the home garden is the ultimate wellness tool.,,,,,,,,1,,,,,
95,qlfuk,"The world's No.1 Liquid Feed company manufacturing liquid animal supplements, liquid carbon based fertilisers & supplying fertilisers & AdBlue T: 01952 727754",,,,1,,,,,,,,,
96,ecogreenlawn,"After extensive research, EcoGreen decided to partner with Bee Safe  lawns – the leader in Organic lawn care and is now the authorized Bee Safe applicator in PA",,,,1,,,,,,,,,
97,DDKisanChannel,"Official Twitter account of DD Kisan, an Indian Agriculture 24x7 TV channel of Prasar Bharati (India's Public Service Broadcaster), launched on 26 May 2015.",,,,,1,,,,,,,,
98,AGreeAgPolicy,Bold initiative designed to drive positive change in food & ag. Tweets share our perspectives and also cover top food & ag news to foster inclusive dialogue.,,,,,1,,1,1,,,,,
99,DenovoFarms,My passion is #sustainable #foodsecurity I focus on #beef #cattle and #sheep #lamb production as well as growing #wheat,,1,,,,,,,,,,,
100,OutdoorsMc,"Love the outdoors & Pepper Crazy, Love to grow Baker Creek Veggies",,1,,,,,,,,,,,
101,Jeypeefarm,தமிழன்‌. 🇮🇳 किसान National Awarded Bio-Entrepreneur.🔬🐝🦋🐞🐛 Teach SDGs,,1,,,,,,,,,,,
102,ATTRASustainAg,ATTRA is The National Sustainable Agriculture Information Service. We provide information and research services about sustainable agriculture and farm energy.,,,,,1,,,,,,,,
103,AgriviCorp,An award-winning cloud farm management software used by thousands of farmers from 150+ countries worldwide.,,,,1,,,,,,,,,
104,NCAT_ORG,"National Center for Appropriate Technology - championing small-scale, local, sustainable solutions - #ag #energy #eco Also: @ATTRASustainAg",,,,1,,1,,,,,,,
105,ntshealth,"Health tips and wellness strategies for a holistic and happy lifestyle. We believe in natural health solutions through nutrition, detox, fitness and balance.",,,,,,,,,1,,,,
106,VermontNRCS,"News and info about how the USDA Natural Resources Conservation Service is helping people help the land in #Vermont. #SoilHealth #conservation 
#waterquality",,,1,,,1,,,,,,,
107,kcsivabalan,"social scientist interested in  ICT  in agricultural technology transfer, climate change ,Rural development, sustainable agriculture research.",1,,,,,,,,,,,,
108,BlackwoodsGroup,Data-driven conservation.,,,,,,,,,,,,,
109,healthfoodnews1,"Design A Cuisine can consult on all your hospitality training, staffing, catering and event management needs.",,,,,,,,1,,,,,
110,midwestgrain,,,,,1,,,,,,,,,
111,NTPlanet,Join us in teaching the world to feed itself with #aquaponics and #sustainable indoor #farming,,,,,,1,,,,,,,
112,environmentguru,"Intelligence tools to find #water, #energy, #air, #greenbuilding, #toxic, #sustainability, #waste, #naturalresources including #news, #jobs, #events, and #bids",,,,,,,,,,,1,,
113,vandyemataram,"।।वंदे मातरम्।।जननी जन्मभूमिश्च स्वर्गादपि गरीयसी।।माँ भारती की रक्षा,विकास व देशद्रोहीयो के विनाश हेतु आओ सब मिल महात्मा @narendramodi के साथ चले @bjp4bharat",,,,,,,,,,,,1,
114,MidKentTraining,"MKT has nearly 40 years of experience  delivering first-class training to farms, small holdings, organisations  and commercial and corporate businesses.",,,,,,1,,,,,,,
