,screen_name,description,is_science,is_farmer,is_political,is_business,is_media,is_training,is_nonprofit,is_food,is_medical,is_internationalagency,is_nature,is_other,NOTES
38,business_supser,Track all of the latest Business News with Owler. View all companies in the Business Support Services Sector: https://t.co/CoeFnZMEjD,,,,,1,,,,,,,,
39,FarmFairyCrafts,Solstice Farm. Therapeutic Flax Hot Cold Pads by a PT & Yoga Inst. Organic Medicinal Lotion formulated by a Licensed Acupuncturist. https://t.co/Vj9WiJntm2,,,,,,,,,,,,1,
40,ideas4thefuture,submit any ideas for the future. We need new ideas for the future if we are going to have a future + TODAYS LATEST RELEVANT NEWS #IFF,,,,,,,,,,,,1,
41,LoveOrganicxxx,"Organic food is real food with no chemicals added, you can grow  your own Organic food, it's easy ! Supercharge your diet and your health with Organics !",,,,,,,,,,,1,,
42,dhruvbhim,visit https://t.co/EPczU8cxyr & https://t.co/Qq9213mSEz views are strictly personal.,,,,,,,,,,,,1,
44,_ngoo,Track all of the latest NGO News with Owler. View all companies in the NGO Sector: https://t.co/14VQqlN0XC,,,,,1,,,,,,,,
45,Life_Sciences_,Offering popular references from the natural sciences,1,,,,,,,,,,,,
46,itsforhome,Smart Home Resource and Marketplace - Smart Grid - Demand Response,,,,1,,,,,,,,,
47,aldoceccarelli,Computo ergo sum. CIO. ICT specialist editor @datamanager_it,,,,,,,,,,,,1,
48,RazzleTazzleMag,"http://t.co/1CmgS2DOEt is an online global Entertainment Magazine covering celebrity photos, news & gossip.",,,,,1,,,,,,,,
49,AjayPandey__,,,,,,1,,,,,,,,
50,18dMedia,We begin to see that our lack of success is within us and we begin to work on knowing ourselves better....,,,,,,,,,,,,1,
51,chatapon2,"words, words, words. images, images, images.videos,videos,videos.",,,,,,,,,,,,1,
52,the__himanish,Alien 👽|| Pantomath || BookCritic || Author || ITEngineer || Philosopher || Mentalist || Photographer || Chef || Host #loveforprintversions #theauthoroftheday,,,,,,,,,,,,1,
53,RayBeckerman,"NYC business lawyer.I tweet about law,social justice,human & animal rights,nature,the arts,ecology.My refollow policy: http://t.co/JWpXhPj3sr",,,,,1,,,,,,,,
54,INETHONDURAS,"INETHonduras, tu publicidad es nuestro arte!",,,,,,,,,,,,1,
55,financialbuzz,Read Articles on the Latest Buzz in Financial News Everyday! We Report LIVE from the NYSE and NASDAQ Exchanges! Our Tweets are our own personal opinions.,,,,,1,,,,,,,,
56,upma23,"Proud Indian , Proud Hindu , RT is not Endorsement. 
#MyIndia #NationFirst",,,,,,,,,,,,,
57,Marketsview,,,,,,,,,,,,,,
58,EcoInternetDrGB,#Environment #Climate 24/7 Dr. Glen Barry #DataScience | #Forest #Ocean #Water #Science #Ecology #Indigenous #HumanRights #Trafficking #Space #Peace #Resist #XR,,,,,,,,,,,1,,
62,Apocrifos,"Writer at #Punkroutine and several blogs across the world. Yes, you can live by doing that  🇲🇽🇮🇹🇫🇷🇩🇪   @facebook  Community Manager‼️",,,,,1,,,,,,,,
63,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned Download App: https://t.co/PVrW5AjdTH",,,,,1,,,,,,,,
64,TheCloudNetwork,🗣️ #Opines on #Cloud curated by @OpineMediaGroup (OMG). Submit content to cloud@pr2web.com.,1,,,,,,,,,,,,
65,ndtv,Breaking news alerts from India,,,,,1,,,,,,,,
66,NewsFromSPI,"Sector Publishing Intelligence publishes market sector news, research, and press releases through its extensive #news portal. #marketresearch",,,,1,1,,,,,,,,
67,EurekaMag,Offers PDF Full Text supply services. 54+ million PubMed & natural science articles,,,,,1,,,,,,,,
68,pops131,"I'm a retired Brit living in Taiwan.Tweet-aholic who always follow back,but be aware if you unfollow me i will unfollow you.Happy Tweets:)",,,,,,,,,,,,1,
69,wizardQi,"Life is long,we must live it wisely! I study alternative health and wellness, In to protect environment for animals and Human beings .  Against Tyranny +slavery",,,,,,,,,,,1,,
70,LiveEdges,No middle of the road here. Only the LIVEEDGES of truth. Tweets are not my opinion. Empirical reports to prevent history repeats. Satire. It is all in fun.,,,,,,,,,,,,1,
71,htTweets,One of India's largest media companies. Latest news from around the world. Retweets are not endorsements.,,,,,1,,,,,,,,
72,jilevin,"Marketing Programs Manager, social media, human rights, politics and news junkie, equality. #RESIST #FBR",,,,,1,,,,,,,,
73,kotaknaren,Insurance and Risk Management Professional,,,,,,,,,,,,1,
74,TOICitiesNews,Unmatched coverage from over 60 cities across India brought to you by https://t.co/VSKi1mkZBr,,,,,1,,,,,,,,
75,IndianExpress,"The Indian Express brings to you latest news from India and the world, breaking round the clock. The 'Journalism of Courage' starts here.",,,,,1,,,,,,,,
77,guzmanadrian,Like to read!,,,,,,,,,,,,1,
78,EnjeuxEnergies,"Enjeux énergies vise a refléter les exigences sociales, environnementales et climatiques liées aux diverses formes d'énergies.",,,,,,,,,,,,1,
79,Max1023FM,"This is the Hit Music for Lagos... Tune in to get all round entertainment, music 24/7. info@max1023.fm",,,,,,,,,,,,1,
80,bluebirdtrini,One Year = 365 Opportunities,,,,,,,,,,,,1,
82,rvp,"https://t.co/nExVzlwnYU

Consultant - Software, Telecom, InfoTech  

MS-ECE, MEngg MatSc Carnegie-Mellon '85, '86; IIT K '82",,,,,,,,,,,,,
83,NewIndianXpress,"All the tweets for breaking news & views.
Facebook: https://t.co/2JWnDQzN07
YouTube: https://t.co/j6jQDbuEjK",,,,,1,,,,,,,,
84,disruptivesigna,"News, Podcasts, YouTube, Nothing Personal, Just News! 
🇵🇹 🇪🇸  🇬🇧 🇮🇹 🇫🇷 🇮🇩 Manners Matters 🙅 Twitter Doesn't Allow Me To Follow Back More People Now",,,,,1,,,,,,,,
85,dna,"Follow us for news, photos, videos and the latest trends from India and around the world. http://t.co/IZXefx3rSt",,,,,1,,,,,,,,
86,ModiBJPBhakt,,,,,,,,,,,,,1,
87,guardian,The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/gWyuUVlObq,,,,,1,,,,,,,,
89,liquidskydesign,"Full Stack Graphic & Visual Designer, @TeamQLASH Italian Social & Community Manager ♥ 日本, #jazz, #esport, #crypto, #opensource, rabblerouser girl",,,,,,,,,,,,1,
90,JuneStoyer,Environmental advocate @TheOrganicView. Ranked in Top1%influencers on #socialmedia #cleanenergy #animalrights #bees #veterans #Catholic #prolife #vegan,,,,,,,,,,,1,,
91,Primal_Digest,"Follow Primal Digest to get content just for you. It's simple: Follow us and we'll learn your interests. When we find relevant content, we'll send a reply.",,,,,,,,,,,,1,
92,Mthigo_,"Environmental Assessment Practitioner  🌍👷♥️
#OkuhleEnviroSol",,,,,,,,,,,1,,
93,LindaCollins11,"Fascism came 2 America wrapped in the flag & carrying a cross. Impeach Trump. Pagan 🌛🌝🌜Reiki Master, Feminist. We are One Race=Human #TeamPelosi 🚫NO LISTS",,,,,,,,,,,,1,
94,hindustanse,"Nation Comes First,   Nature and Animal Lover  Aquarius Feb 1",,,,,,,,,,,,1,
95,manojsirsa,"Dil se Bhartiya, theth deshi, moderate, seedhi baat, Sickulars dur rahe, Vande Matram, Tweets are personal, RTs not endorsement",,,,,,,,,,,,1,
96,Stupidosaur,"Engineer who takes pics,makes cartoons,talks on how to make and run free websites & lot more fun stuff. Pls RT http://t.co/iZYZRFjcKH",,,,,,,,,,,,1,
97,Camz99,"Environmentalist, traveler and optimist. Together, we can make a difference to the planet in which we inhabit - it’s not too late to change our ways. #the45",,,,,,,,,,,1,,
98,shankargallery,https://t.co/iUcInEhVOu,,,,,,,,,,,,1,
99,timesofindia,"News. Views. Analysis. Conversations. India’s No.1 digital news destination, world’s largest-selling English newspaper - A Times Internet Limited Product",,,,,1,,,,,,,,
100,Mayankforbjp,rt का मतलब स्वीकृति नही,,,1,,,,,,,,,,
